/root/miniconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
completed target 0 for PEMS07
completed target 28 for PEMS07
completed target 56 for PEMS07
completed target 85 for PEMS07
completed target 113 for PEMS07
completed target 142 for PEMS07
completed target 170 for PEMS07
completed target 199 for PEMS07
completed target 227 for PEMS07
completed target 256 for PEMS07
completed target 284 for PEMS07
completed target 312 for PEMS07
completed target 341 for PEMS07
completed target 369 for PEMS07
completed target 398 for PEMS07
completed target 426 for PEMS07
completed target 455 for PEMS07
completed target 483 for PEMS07
completed target 512 for PEMS07
completed target 540 for PEMS07
completed target 569 for PEMS07
completed target 597 for PEMS07
completed target 625 for PEMS07
completed target 654 for PEMS07
completed target 682 for PEMS07
completed target 711 for PEMS07
completed target 739 for PEMS07
completed target 768 for PEMS07
completed target 796 for PEMS07
completed target 825 for PEMS07
completed target 853 for PEMS07
completed target 882 for PEMS07
