/root/miniconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
completed target 0 for PEMS04
completed target 9 for PEMS04
completed target 19 for PEMS04
completed target 29 for PEMS04
completed target 39 for PEMS04
completed target 49 for PEMS04
completed target 59 for PEMS04
completed target 69 for PEMS04
completed target 78 for PEMS04
completed target 88 for PEMS04
completed target 98 for PEMS04
completed target 108 for PEMS04
completed target 118 for PEMS04
completed target 128 for PEMS04
completed target 138 for PEMS04
completed target 148 for PEMS04
completed target 157 for PEMS04
completed target 167 for PEMS04
completed target 177 for PEMS04
completed target 187 for PEMS04
completed target 197 for PEMS04
completed target 207 for PEMS04
completed target 217 for PEMS04
completed target 227 for PEMS04
completed target 236 for PEMS04
completed target 246 for PEMS04
completed target 256 for PEMS04
completed target 266 for PEMS04
completed target 276 for PEMS04
completed target 286 for PEMS04
completed target 296 for PEMS04
completed target 306 for PEMS04
