/root/miniconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:63: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
completed target 0 for PEMSBAY
completed target 10 for PEMSBAY
completed target 20 for PEMSBAY
completed target 31 for PEMSBAY
completed target 41 for PEMSBAY
completed target 52 for PEMSBAY
completed target 62 for PEMSBAY
completed target 73 for PEMSBAY
completed target 83 for PEMSBAY
completed target 94 for PEMSBAY
completed target 104 for PEMSBAY
completed target 114 for PEMSBAY
completed target 125 for PEMSBAY
completed target 135 for PEMSBAY
completed target 146 for PEMSBAY
completed target 156 for PEMSBAY
completed target 167 for PEMSBAY
completed target 177 for PEMSBAY
completed target 188 for PEMSBAY
completed target 198 for PEMSBAY
completed target 209 for PEMSBAY
completed target 219 for PEMSBAY
completed target 229 for PEMSBAY
completed target 240 for PEMSBAY
completed target 250 for PEMSBAY
completed target 261 for PEMSBAY
completed target 271 for PEMSBAY
completed target 282 for PEMSBAY
completed target 292 for PEMSBAY
completed target 303 for PEMSBAY
completed target 313 for PEMSBAY
completed target 324 for PEMSBAY
